words,index,frequency,abstracts
The,1,0,0
B,2,0,0
physics,3,154,87
potential,4,15,13
of,5,613,94
CMS,6,0,0
detector,7,18,12
to,8,219,76
be,9,83,46
built,10,2,2
at,11,78,46
LHC,12,0,0
CERN,13,0,0
is,14,178,71
presented,15,22,17
First,16,0,0
components,17,4,4
are,18,125,62
briefly,19,9,8
reviewed,20,19,12
with,21,89,51
an,22,52,38
emphasis,23,11,11
on,24,94,54
their,25,13,12
role,26,8,6
for,27,141,66
Then,28,0,0
a,29,221,79
description,30,6,5
some,31,25,22
measurements,32,19,17
that,33,75,45
could,34,11,10
done,35,4,4
such,36,16,12
as,37,74,36
CKM,38,0,0
angle,39,5,5
beta,40,7,6
mixing,41,7,6
parameter,42,3,3
x,43,10,6
s,44,20,17
and,45,350,93
number,46,18,14
rare,47,6,6
decay,48,10,8
studies,49,11,9
follows,50,1,1
Finally,51,0,0
possible,52,13,12
high,53,33,25
level,54,12,9
trigger,55,10,3
algorithm,56,2,2
discussed,57,28,20
five,58,4,2
ARIES,59,0,0
designs,60,1,1
which,61,46,30
correspond,62,2,2
different,63,12,11
tokamak,64,4,2
operating,65,6,4
modes,66,3,2
compared,67,5,3
Physics,68,0,0
figures,69,1,1
merit,70,1,1
introduced,71,2,2
quantify,72,2,2
major,73,7,6
parameters,74,10,8
design,75,6,3
in,76,299,88
space,77,10,8
one,78,12,12
another,79,2,2
existing,80,4,3
data,81,19,12
base,82,5,4
terms,83,4,3
these,84,29,22
While,85,0,0
steady,86,1,1
state,87,12,10
stability,88,5,3
I,89,0,0
pulsed,90,3,2
PULSAR,91,0,0
closest,92,1,1
no,93,4,4
has,94,32,25
yet,95,2,2
been,96,28,20
completely,97,3,3
prototyped,98,1,1
tokamaks,99,1,1
Photodetectors,100,0,0
widely,101,3,3
used,102,26,22
particle,103,20,12
nuclear,104,31,15
research,105,19,10
Since,106,0,0
beginning,107,2,2
modern,108,4,4
era,109,1,1
photoelectric,110,1,1
transducers,111,1,1
late,112,1,1
many,113,13,12
types,114,2,2
devices,115,5,2
have,116,33,27
developed,117,4,4
exploited,118,1,1
New,119,0,0
performance,120,3,3
requirements,121,3,3
arising,122,1,1
experiments,123,26,19
often,124,3,3
provided,125,2,2
very,126,14,10
interesting,127,7,6
technological,128,3,2
drivers,129,1,1
industry,130,1,1
ideas,131,1,1
photo,132,1,1
detection,133,7,6
rapidly,134,2,2
adapted,135,2,2
by,136,52,35
community,137,4,4
enable,138,1,1
more,139,11,11
powerful,140,1,1
experimental,141,19,15
capabilities,142,4,4
This,143,0,0
report,144,3,3
gives,145,2,2
sampling,146,1,1
developments,147,9,9
photodetection,148,1,1
period,149,3,3
conference,150,1,1
series,151,3,3
Beaune,152,0,0
Representative,153,0,0
examples,154,8,7
advances,155,3,3
vacuum,156,2,2
solid,157,1,1
gaseous,158,2,2
described,159,7,7
including,160,11,10
where,161,6,5
appropriate,162,3,3
areas,163,5,4
improvements,164,1,1
needed,165,5,5
or,166,16,13
expected,167,10,9
modelling,168,1,1
traffic,169,7,2
flow,170,9,3
using,171,20,17
methods,172,8,6
models,173,16,10
from,174,40,30
long,175,12,12
history,176,2,2
In,177,0,0
recent,178,26,21
years,179,3,3
especially,180,2,2
cellular,181,3,2
automata,182,3,2
allowed,183,2,2
large,184,19,16
scale,185,11,9
simulations,186,4,4
networks,187,1,1
faster,188,1,1
than,189,10,8
real,190,3,2
time,191,14,11
On,192,0,0
other,193,11,8
hand,194,2,2
systems,195,13,10
physicists,196,2,2
they,197,11,11
allow,198,4,4
observe,199,2,2
genuine,200,2,2
nonequilibrium,201,3,2
effects,202,18,15
Here,203,0,0
current,204,19,19
status,205,7,7
special,206,5,5
e,207,24,12
g,208,13,5
phase,209,10,9
transitions,210,2,2
induced,211,4,4
off,212,2,2
ramps,213,1,1
Monte,214,0,0
Carlo,215,0,0
techniques,216,10,7
employed,217,1,1
statistical,218,13,5
well,219,20,13
quantum,220,15,10
theory,221,15,14
Lagrangian,222,0,0
formulation,223,1,1
However,224,0,0
application,225,5,4
theories,226,5,4
computational,227,2,2
progress,228,3,3
slow,229,1,1
we,230,62,33
present,231,18,13
recently,232,3,3
approach,233,9,7
Hamiltonian,234,0,0
method,235,8,7
designed,236,2,2
overcome,237,1,1
difficulties,238,1,1
conventional,239,2,2
An,240,0,0
overview,241,10,10
strangeness,242,2,1
given,243,13,11
focussing,244,1,1
spin,245,15,7
dependent,246,7,7
Lambda,247,0,0
hypernuclei,248,2,1
LambdaN,249,0,0
NN,250,0,0
weak,251,2,2
interaction,252,11,7
density,253,8,7
dependence,254,8,4
Sigma,255,0,0
double,256,6,5
A,257,0,0
placed,258,3,3
proposal,259,1,1
study,260,24,17
experimentally,261,2,2
Xi,262,0,0
atoms,263,9,4
paper,264,13,12
prospects,265,8,7
BELLE,266,0,0
experiment,267,14,11
dedicated,268,2,2
CP,269,0,0
violation,270,5,5
meson,271,4,4
system,272,14,11
brief,273,7,7
introduction,274,3,3
will,275,41,19
give,276,8,8
motivation,277,4,3
next,278,6,6
running,279,6,4
beyond,280,5,5
outlined,281,1,1
so,282,12,11
called,283,2,1
microscopic,284,2,2
vehicular,285,4,1
attention,286,7,7
paid,287,1,1
explicitly,288,1,1
each,289,6,4
individual,290,2,2
vehicle,291,1,1
represented,292,1,1
nature,293,2,2
interactions,294,13,10
among,295,3,3
particles,296,6,5
determined,297,5,5
way,298,7,6
vehicles,299,1,1
influence,300,1,1
others,301,1,1
movement,302,2,2
Therefore,303,0,0
modeled,304,1,1
interacting,305,3,3
driven,306,4,3
far,307,3,3
equilibrium,308,1,1
offers,309,1,1
possibility,310,2,2
various,311,11,8
fundamental,312,9,9
aspects,313,9,9
truly,314,1,1
interest,315,6,6
Analytical,316,0,0
numerical,317,5,5
being,318,10,8
understand,319,3,3
rich,320,4,4
variety,321,3,3
physical,322,14,10
phenomena,323,8,6
exhibited,324,1,1
Some,325,0,0
observed,326,5,5
under,327,10,10
circumstances,328,1,1
include,329,8,8
dynamical,330,2,2
criticality,331,2,1
self,332,2,2
organized,333,1,1
metastability,334,1,1
hysteresis,335,1,1
segregation,336,1,1
etc,337,1,1
critical,338,3,3
review,339,13,12
written,340,1,1
perspective,341,1,1
explain,342,2,2
guiding,343,2,2
principles,344,5,5
behind,345,1,1
all,346,6,6
main,347,8,7
theoretical,348,19,13
approaches,349,2,2
But,350,0,0
detailed,351,4,4
discussions,352,1,1
results,353,29,24
obtained,354,11,11
mainly,355,1,1
hopping,356,1,1
particularly,357,4,4
emphasizing,358,2,2
those,359,2,2
formulated,360,1,1
language,361,2,2
precision,362,8,5
ATLAS,363,0,0
Large,364,0,0
Hadron,365,0,0
Collider,366,0,0
Examples,367,0,0
W,368,0,0
Drell,369,0,0
Yan,370,0,0
production,371,12,10
lepton,372,5,5
pairs,373,1,1
Triple,374,0,0
Gauge,375,0,0
Couplings,376,0,0
top,377,3,3
Higgs,378,0,0
Supersymmetry,379,0,0
Recent,380,0,0
decays,381,11,9
charmonium,382,1,1
together,383,3,3
related,384,7,7
issues,385,4,4
future,386,19,15
discovery,387,5,5
Crab,388,0,0
nebula,389,1,1
emitter,390,1,1
energy,391,38,27
gamma,392,16,7
rays,393,2,1
ground,394,4,3
based,395,21,17
astronomy,396,3,2
opened,397,1,1
unique,398,4,4
window,399,2,2
proceses,400,1,1
occuring,401,1,1
near,402,5,5
distant,403,1,1
universe,404,3,2
Currently,405,0,0
generation,406,4,3
Imaging,407,0,0
Air,408,0,0
Cherenkov,409,0,0
Telescopes,410,0,0
construction,411,5,5
several,412,11,9
locations,413,1,1
northern,414,1,1
southern,415,1,1
hemisphere,416,1,1
Based,417,0,0
MAGIC,418,0,0
Telescope,419,0,0
significant,420,2,2
enhancement,421,2,2
ray,422,8,7
indicated,423,1,1
We,424,0,0
selected,425,4,4
relation,426,8,7
between,427,27,15
string,428,2,2
facilities,429,2,2
After,430,0,0
short,431,8,8
its,432,13,11
constituents,433,3,3
goals,434,2,2
performances,435,1,1
Detailed,436,0,0
sinbeta,437,2,2
measurement,438,12,10
channel,439,3,3
d,440,20,9
o,441,4,2
J,442,0,0
psi,443,1,1
KS,444,0,0
tagging,445,2,2
strategies,446,1,1
introduce,447,5,5
laser,448,9,6
electron,449,17,13
photon,450,14,8
LEP,451,0,0
facility,452,7,4
SPring,453,0,0
field,454,13,11
Quark,455,0,0
Nuclear,456,0,0
As,457,0,0
promising,458,1,1
tool,459,2,2
discuss,460,11,11
dual,461,1,1
Ginzburg,462,0,0
Landau,463,0,0
low,464,26,22
range,465,10,9
strongly,466,2,2
measure,467,4,4
photoproduction,468,1,1
phi,469,1,1
detect,470,2,2
glueball,471,1,1
t,472,15,9
show,473,5,5
clear,474,2,2
systematics,475,1,1
seen,476,3,3
baryon,477,1,1
spectra,478,3,3
compare,479,2,2
simple,480,9,7
deformed,481,1,1
oscillator,482,2,2
model,483,27,20
There,484,0,0
problems,485,8,8
work,486,9,7
out,487,3,3
develop,488,4,4
Gravity,489,0,0
obscures,490,1,1
most,491,11,11
subtle,492,2,2
key,493,4,4
solving,494,1,1
outstanding,495,1,1
questions,496,3,2
today,497,1,1
To,498,0,0
address,499,1,1
micro,500,1,1
division,501,1,1
NASA,502,0,0
formed,503,2,2
discipline,504,4,2
focus,505,5,5
Low,506,0,0
Temperature,507,0,0
Condensed,508,0,0
Matter,509,0,0
LT,510,0,0
CMP,511,0,0
Laser,512,0,0
Cooling,513,0,0
Atomic,514,0,0
LCAP,515,0,0
Gravitational,516,0,0
Relativistic,517,0,0
GRP,518,0,0
objectives,519,1,1
support,520,3,2
flight,521,6,3
enabling,522,1,1
technologies,523,2,2
conduct,524,1,1
investigations,525,3,2
going,526,1,1
funded,527,1,1
directions,528,1,1
plans,529,3,3
development,530,12,11
hardware,531,2,2
International,532,0,0
Space,533,0,0
Station,534,0,0
over,535,8,7
decades,536,3,3
also,537,15,14
planned,538,3,3
cryogenic,539,3,2
providing,540,2,2
environment,541,2,2
below,542,8,6
Kelvin,543,0,0
up,544,9,6
months,545,1,1
investigators,546,4,2
Between,547,0,0
CDF,548,0,0
collected,549,3,2
sample,550,1,1
pb,551,1,1
p,552,13,5
collisions,553,8,7
TeV,554,0,0
Fermilab,555,0,0
Tevatron,556,0,0
year,557,2,2
commence,558,1,1
again,559,1,1
delivering,560,2,2
integrated,561,4,4
luminosity,562,8,5
fb,563,4,3
yr,564,1,1
mean,565,5,4
undergone,566,1,1
substantial,567,2,2
upgrades,568,1,1
program,569,7,6
during,570,4,4
upcoming,571,1,1
run,572,2,2
central,573,2,2
neutrinos,574,7,5
determination,575,6,5
SuperKamiokande,576,0,0
neutrino,577,17,8
mass,578,17,11
c,579,19,8
distances,580,4,2
tests,581,4,4
flavor,582,4,4
symmetries,583,2,2
derived,584,4,4
grand,585,1,1
unification,586,2,2
can,587,42,30
help,588,2,2
determine,589,5,5
standard,590,17,13
sector,591,3,3
successes,592,1,1
determining,593,1,1
particular,594,14,11
Emphasis,595,0,0
put,596,3,3
fact,597,2,2
only,598,4,4
complementary,599,4,4
yield,600,2,2
precise,601,3,3
information,602,8,7
inconsistencies,603,1,1
apply,604,1,1
general,605,5,5
formalism,606,4,4
improved,607,1,1
effective,608,4,4
scales,609,4,4
compute,610,1,1
M,611,0,0
stabilize,612,1,1
Standard,613,0,0
Model,614,0,0
presence,615,4,4
light,616,14,12
find,617,5,5
imposing,618,1,1
perturbativity,619,1,1
order,620,9,8
magnitude,621,1,1
higher,622,6,5
instability,623,1,1
implies,624,2,2
lower,625,4,4
bounds,626,2,2
easily,627,2,2
not,628,10,10
necessarily,629,1,1
escape,630,1,1
accelerators,631,2,2
Superconducting,632,0,0
magnet,633,2,2
technology,634,4,3
detectors,635,7,6
advanced,636,2,2
provide,637,8,6
magnetic,638,8,5
fields,639,4,4
progressed,640,1,1
meet,641,2,2
requirement,642,1,1
having,643,2,2
maximum,644,1,1
minimum,645,1,1
material,646,5,5
includes,647,2,2
magnets,648,2,2
discusses,649,5,5
cubic,650,1,1
zinc,651,1,1
blende,652,1,1
boron,653,1,1
nitride,654,3,3
BN,655,0,0
affords,656,1,1
plethora,657,1,1
applications,658,4,4
hardness,659,1,1
chemical,660,2,2
reactivity,661,1,1
thermal,662,6,3
conductivity,663,1,1
band,664,3,3
gap,665,2,2
growth,666,4,1
carried,667,1,1
elaborate,668,3,2
monocrystalline,669,1,1
films,670,4,2
strong,671,6,6
film,672,5,2
substrate,673,3,1
adherence,674,1,1
now,675,5,5
substrates,676,3,1
although,677,5,4
concentration,678,3,3
increasing,679,1,1
optimization,680,2,1
still,681,4,3
question,682,2,2
debate,683,1,1
Optimum,684,0,0
conditions,685,5,4
must,686,1,1
found,687,9,8
energetic,688,1,1
IBAD,689,0,0
polarization,690,5,4
basic,691,5,5
heart,692,1,1
any,693,3,3
strategy,694,3,2
aims,695,2,2
quality,696,4,2
involves,697,1,1
heteroepitaxy,698,1,1
aspect,699,2,2
process,700,8,6
consists,701,2,2
taking,702,2,2
advantage,703,2,2
freedom,704,4,4
degrees,705,4,4
choice,706,2,1
buffer,707,2,1
layers,708,2,1
optimize,709,1,1
heterointerfaces,710,1,1
Although,711,0,0
tested,712,2,2
optimized,713,2,2
remain,714,1,1
improve,715,4,3
less,716,3,3
investigated,717,2,2
communication,718,2,2
art,719,1,1
problem,720,2,2
demonstrate,721,1,1
variation,722,2,2
content,723,2,2
grown,724,1,1
understood,725,4,4
basis,726,6,6
elasticity,727,2,2
heavy,728,7,5
fermion,729,4,4
formation,730,3,3
liquid,731,3,3
open,732,1,1
issue,733,1,1
One,734,0,0
competing,735,2,2
points,736,1,1
view,737,2,2
Nozieres,738,0,0
exhaustion,739,1,1
scenario,740,1,1
predicts,741,2,2
reduced,742,2,2
Kondo,743,0,0
concentrated,744,1,1
properties,745,17,13
paramagnetic,746,2,2
periodic,747,2,2
Anderson,748,0,0
within,749,8,7
T,750,0,0
Wilson,751,0,0
renormalization,752,1,1
group,753,4,4
Special,754,0,0
laid,755,1,1
lattice,756,4,4
impurity,757,1,1
adressed,758,1,1
Europe,759,0,0
Leaving,760,0,0
aside,761,1,1
machines,762,1,1
case,763,6,5
COMPASS,764,0,0
SPS,765,0,0
project,766,1,1
antiproton,767,2,2
framework,768,4,3
GSI,769,0,0
With,770,0,0
ending,771,1,1
LEAR,772,0,0
programme,773,2,2
resources,774,3,3
disappearance,775,1,1
European,776,0,0
projects,777,3,2
two,778,17,13
carry,779,1,1
heritage,780,1,1
Europes,781,0,0
lasting,782,1,1
engagement,783,1,1
beams,784,6,5
into,785,8,8
millenium,786,1,1
explore,787,3,3
proton,788,7,5
center,789,1,1
cm,790,2,2
Tripler,791,0,0
upgrade,792,4,2
robust,793,2,2
usual,794,1,1
boson,795,11,7
benchmarks,796,1,1
discoveries,797,1,1
made,798,5,5
GeV,799,0,0
lighter,800,1,1
chargino,801,1,1
extra,802,2,2
Z,803,0,0
four,804,4,3
contact,805,4,4
excluded,806,1,1
confidence,807,1,1
scope,808,1,1
projected,809,1,1
early,810,5,4
statistics,811,4,4
channels,812,3,3
unitarity,813,2,2
triangle,814,4,3
angles,815,3,3
alpha,816,1,1
searches,817,4,4
deviations,818,2,2
perform,819,3,2
Bs,820,0,0
oscillations,821,4,4
able,822,4,3
access,823,2,2
produce,824,2,2
events,825,8,5
unprecedented,826,1,1
rate,827,4,3
recorded,828,2,2
limited,829,3,2
stored,830,3,3
offline,831,1,1
subsequently,832,1,1
analysed,833,2,2
Despite,834,0,0
huge,835,1,1
small,836,2,2
branching,837,1,1
ratios,838,1,1
analysis,839,5,5
challenge,840,1,1
Trigger,841,0,0
Data,842,0,0
Acquisition,843,0,0
DAQ,844,0,0
maximise,845,1,1
fraction,846,2,2
stream,847,1,1
split,848,1,1
three,849,11,6
levels,850,1,1
initial,851,5,3
selection,852,2,2
inclusive,853,4,3
muon,854,19,7
second,855,5,5
identifying,856,1,1
classes,857,1,1
final,858,6,6
states,859,12,6
partial,860,3,3
reconstruction,861,2,1
confirmed,862,1,1
before,863,1,1
proceeding,864,1,1
track,865,2,1
search,866,4,4
Electron,867,0,0
separation,868,2,2
transition,869,7,6
radiation,870,14,8
tracking,871,3,2
Electromagnetic,872,0,0
calorimeter,873,3,2
Muon,874,0,0
identification,875,3,3
hadronic,876,7,6
From,877,0,0
silicon,878,1,1
strips,879,1,1
pixels,880,1,1
straw,881,1,1
make,882,7,7
selections,883,1,1
invariant,884,1,1
momentum,885,8,5
impact,886,2,2
engaged,887,1,1
optimisation,888,1,1
closely,889,1,1
coupled,890,2,2
R,891,0,0
D,892,0,0
triggers,893,1,1
Together,894,0,0
programmes,895,1,1
optimise,896,1,1
architecture,897,1,1
algorithms,898,1,1
challenging,899,1,1
describes,900,6,6
advantages,901,3,2
separate,902,1,1
undergraduate,903,2,1
course,904,1,1
computer,905,1,1
Also,906,0,0
Java,907,0,0
timeliness,908,1,1
integrating,909,1,1
curriculum,910,2,1
reflects,911,1,1
summarize,912,3,3
CLEO,913,0,0
collaboration,914,4,3
Cornell,915,0,0
positron,916,8,3
storage,917,4,3
ring,918,11,4
upsilon,919,3,2
S,920,0,0
resonance,921,4,4
determinations,922,1,1
elements,923,5,4
matrix,924,7,5
semileptonic,925,2,2
nonleptonic,926,1,1
charmless,927,1,1
accumulate,928,1,1
cool,929,1,1
numbers,930,1,1
positrons,931,3,1
radioactive,932,1,1
Na,933,0,0
source,934,6,6
neon,935,1,1
moderator,936,1,1
operation,937,3,3
accumulator,938,1,1
Experiments,939,0,0
use,940,6,5
molecules,941,3,1
energies,942,11,8
threshold,943,5,5
positronium,944,1,1
systematic,945,3,3
annihilation,946,5,2
composition,947,2,2
By,948,0,0
measuring,949,4,4
Doppler,950,0,0
broadening,951,1,1
annihilating,952,1,1
electrons,953,4,3
was,954,9,8
identified,955,3,3
These,956,0,0
indicate,957,4,3
annihilate,958,1,1
approximately,959,1,1
equal,960,2,2
probability,961,1,1
valence,962,1,1
Annihilation,963,0,0
inner,964,1,1
shell,965,2,2
infrequent,966,1,1
measurable,967,2,2
few,968,2,2
percent,969,2,2
heavier,970,2,2
Measurements,971,0,0
rates,972,1,1
function,973,8,6
revealed,974,1,1
trends,975,1,1
technique,976,3,2
cold,977,4,2
bright,978,1,1
beam,979,10,5
scattering,980,15,9
eV,981,0,0
Other,982,0,0
molecular,983,2,2
accumulation,984,1,1
hypernuclear,985,7,1
spectroscopy,986,6,2
great,987,5,5
significance,988,1,1
investigation,989,1,1
structure,990,18,7
chapter,991,12,7
reviews,992,3,3
regime,993,6,6
Wide,994,0,0
investigate,995,6,5
referring,996,1,1
spectroscopic,997,1,1
Quantitative,998,0,0
